club,club_type,target_distance,power_percent,power_range,final_distance,error,abs_error,iterations,found,reachable
6I,iron,140,0.63203125,88.484375,140.31885615613507,-0.31885615613506957,0.31885615613506957,9,True,True
6I,iron,150,0.6583984375000002,92.17578125000003,150.39049748344263,-0.3904974834426298,0.3904974834426298,11,True,True
6I,iron,160,0.6859375000000001,96.03125000000001,159.8827524158957,0.11724758410429104,0.11724758410429104,8,True,True
6I,iron,170,0.7093750000000001,99.31250000000001,169.717211551717,0.2827884482829859,0.2827884482829859,7,True,True
6I,iron,180,0.7369140625,103.16796875,179.5031015878103,0.49689841218969377,0.49689841218969377,11,True,True
6I,iron,190,0.7609375,106.53125,189.7416654763365,0.25833452366350684,0.25833452366350684,8,True,True
6I,iron,200,0.7890625000000002,110.46875000000003,199.89785477138537,0.10214522861463138,0.10214522861463138,8,True,True
6I,iron,220,0.8382812500000001,117.35937500000001,220.11167532325356,-0.11167532325356433,0.11167532325356433,9,True,True
6I,iron,230,0.8640625000000002,120.96875000000003,230.04910398151264,-0.04910398151264417,0.04910398151264417,8,True,True
6I,iron,240,0.8875000000000001,124.25000000000001,239.54966442624823,0.45033557375177224,0.45033557375177224,5,True,True
6I,iron,250,0.915625,128.1875,250.1220576413207,-0.1220576413207084,0.1220576413207084,7,True,True
6I,iron,260,0.9390625000000001,131.46875000000003,259.73300232391625,0.26699767608374714,0.26699767608374714,8,True,True
6I,iron,270,0.9671875000000001,135.40625,270.4066040293964,-0.40660402939641926,0.40660402939641926,8,True,True
6I,iron,280,0.990625,138.6875,280.09928735114875,-0.09928735114874598,0.09928735114874598,7,True,True
7I,iron,50,0.36718750000000006,47.73437500000001,49.91027903427093,0.08972096572907162,0.08972096572907162,8,True,True
7I,iron,60,0.40468750000000003,52.60937500000001,59.972751551354435,0.027248448645565304,0.027248448645565304,8,True,True
7I,iron,70,0.43984375,57.1796875,69.7413261898179,0.25867381018210267,0.25867381018210267,9,True,True
7I,iron,80,0.47500000000000003,61.75000000000001,80.086274246094,-0.08627424609400691,0.08627424609400691,4,True,True
7I,iron,90,0.506640625,65.86328125,90.39474681385295,-0.3947468138529473,0.3947468138529473,10,True,True
7I,iron,100,0.5359375,69.671875,99.95903482405774,0.04096517594226157,0.04096517594226157,8,True,True
